correct_name;wrong_name
John Doe;Jhn Doe
Jane Smith;Jn Smit
Bob Johnson;Bbo Johnso
Alex;alx
Mary Brown;Mary Bown
Chris Lee;Cris Lee
Alex;axlr
Alice Adams;Alic Adms
John Smith;Jn Smith
Mary Johnson;Mry Johnsn
Bob Brown;Bb Brwn
Eva Chen;Ev Che
Tom Wilson;Tom Wlson
Sarah Park;Sara Par
David Lee;Davd Le
Rachel Lee;Rachl L
Emily Lee;Eml Lee
Mike Smith;Mik Smit
Julia Davis;Jlia Davi
Benjamin Kim;Ben Kim
Hannah Lee;Hann Le
Eric Chen;Eri Che
Cindy Kim;Cndy K
Peter Lee;Ptr L
Linda Kim;Lnda Kim
Jake Brown;Jak Brn
Nina Kim;Nna K
Justin Lee;Justi L
Sara Lee;Sar L
Andrew Kim;Andrw Kim
Lucy Lee;Luc Le
Mark Johnson;Mrk Johnsn
Mia Kim;Mi K
Steven Kim;Stevn Kim
Grace Lee;Grac L
William Lee;Wiliam Le
Evelyn Kim;Eveln K
Daniel Lee;Danil L
Stephanie Kim;Stephnie K
Frank Brown;Frnk Bro
Melissa Kim;Melsa K
Christopher Kim;Chrstoph K
Emma Lee;Emm Le
Oscar Brown;Oscr Brn
Sophia Lee;Sopha L
Samuel Lee;Samul L
Amy Lee;Am L
Martin Kim;Mrtin Kim
Ava Lee;Av L
Henry Johnson;Henr Johnsn
Isabella Kim;Isbel K
Jose Lee;Jos L
Natalie Kim;Natlie K
Adam Lee;Adm L
Julia Lee;Juli L
Robert Kim;Robrt K
Caroline Lee;Carolne L
Jack Johnson;Jak Johnsn
Ella Kim;El K
Kevin Lee;Kvin L
Kate Lee;Kat L
George Kim;Gerge K
Hailey Lee;Hail L
Richard Brown;Rchrd Brn
Jasmine Kim;Jasmin K
Anthony Kim;Anthny K
Lily Lee;Li L
Jacob Lee;Jac L
Victoria Kim;Victria K
Jason Lee;Jasn L
Jessica Kim;Jessic K
Charles Brown;Charls Brn
Olivia Lee;Oliv L
Jonathan Kim;Jonathn K
Sophie Lee;Sphi L
Erica Kim;Erc K
William Kim;Wilim K
Julie Lee;Juli L
Joshua Lee;Joshu L
Catherine Kim;Cathrine K
Austin Lee;Austi L
Lena Kim;Len K
Andrew Lee;Andrw L
Tina Kim;Tna K
Anthony Lee;Anthon L
Rachel Kim;Rachl K
Nicholas Lee;Nichols L
Grace Kim;Grae K
Patrick Brown;Patrik Brn
Eunice Lee;Eunic L
Michael Kim;Michl K
Yuna Lee;Yun L
Ryan Lee;Rya L
Christina Kim;Christin K
Kevin Kim;Kevn K
Angela Lee;Angel L
Sebastian Kim;Sebastin K
